Fri May 13 01:25:00 2022    rainbow.prof

         261175591 function calls (251697514 primitive calls) in 1047.331 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   297344  344.690    0.001  366.763    0.001 drl_rainbow.py:247(__sample)
   334510  259.030    0.001  270.803    0.001 drl_rainbow.py:227(__setitem__)
    46464   59.261    0.001  185.817    0.004 drl_rainbow.py:98(get_actions)
   520384   37.488    0.000   37.491    0.000 drl_rainbow.py:66(noise_f)
   148672   36.668    0.000   39.342    0.000 optimizers.py:231(_update)
   687743   29.143    0.000   29.198    0.000 {built-in method cupy._core.core.array}
   631860   24.719    0.000   56.322    0.000 board.py:115(state2ndarray)
     9292   22.350    0.002   28.400    0.003 drl_rainbow.py:110(<listcomp>)
   594720   18.793    0.000   19.090    0.000 {method 'dot' of 'cupy._core.core.ndarray' objects}
   260192   16.778    0.000  121.590    0.000 drl_rainbow.py:32(forward)
   752684   15.133    0.000   15.138    0.000 functions.py:65(forward)
 31958568   14.994    0.000   25.702    0.000 numeric.py:1858(isscalar)
   594724   11.772    0.000   11.774    0.000 functions.py:16(forward)
 51256745    9.785    0.000   12.616    0.000 {built-in method builtins.isinstance}
  6191696    8.496    0.000    8.496    0.000 _internal.py:250(__init__)
  2350984    8.155    0.000   88.047    0.000 core.py:189(__call__)
   207580    5.826    0.000    5.827    0.000 {method 'argmax' of 'cupy._core.core.ndarray' objects}
     9292    5.615    0.001    9.352    0.001 drl_rainbow.py:158(backward)
   260192    5.076    0.000   12.533    0.000 functions.py:490(forward)
1962762/1962370    4.715    0.000    6.429    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
   120804    4.303    0.000    4.305    0.000 {method 'mean' of 'cupy._core.core.ndarray' objects}
  1136094    4.116    0.000   20.611    0.000 board.py:197(is_placable)
  6191696    4.082    0.000    6.529    0.000 syncdetect.py:36(_declare_synchronize)
   130096    3.595    0.000    4.402    0.000 functions.py:528(forward)
9158710/5565571    3.276    0.000   10.739    0.000 board.py:67(__next__)
    37170    3.018    0.000  874.155    0.024 drl_rainbow.py:490(update)
12864862/7644071    2.784    0.000    8.905    0.000 {built-in method builtins.next}
     9292    2.673    0.000    4.091    0.000 drl_rainbow.py:144(forward)
 10854655    2.665    0.000    3.602    0.000 board.py:178(__getbit)
    74336    2.489    0.000    2.492    0.000 {method 'sum' of 'cupy._core.core.ndarray' objects}
  6191696    2.447    0.000    2.447    0.000 syncdetect.py:27(_is_allowed)
  2350984    2.403    0.000   10.629    0.000 core.py:198(<listcomp>)
  3085156    2.379    0.000    2.717    0.000 core.py:61(__init__)
     9292    2.244    0.000  430.032    0.046 drl_rainbow.py:387(get_batch)
  9453031    2.074    0.000    4.779    0.000 board.py:40(generator)
 10475018    2.028    0.000    2.747    0.000 board.py:23(__gen)
  1746976    1.975    0.000    2.118    0.000 __init__.py:794(get_array_module)
  8503900    1.922    0.000    4.757    0.000 board.py:181(getbit_stone_exist)
     9292    1.921    0.000  243.130    0.026 drl_rainbow.py:417(update_priorities)
  3772732    1.735    0.000   10.352    0.000 core.py:234(as_array)
  4615422    1.724    0.000    1.726    0.000 {built-in method _abc._abc_instancecheck}
      128    1.646    0.013    1.646    0.013 {method 'compress' of 'zlib.Compress' objects}
    18584    1.613    0.000    1.613    0.000 {built-in method cupy._core._routines_manipulation.concatenate_method}
    65048    1.495    0.000    1.496    0.000 functions.py:44(forward)
325240/65048    1.485    0.000  133.858    0.002 layers.py:27(__call__)
  6191696    1.473    0.000    1.473    0.000 _internal.py:304(data)
   752684    1.449    0.000   29.344    0.000 functions.py:76(mul)
  1486732    1.432    0.000    5.243    0.000 <__array_function__ internals>:2(min_scalar_type)
     9292    1.362    0.000    1.410    0.000 functions.py:207(forward)
     9292    1.340    0.000    1.363    0.000 {method 'scatter_add' of 'cupy._core.core.ndarray' objects}
  2350985    1.286    0.000    3.414    0.000 core.py:191(<listcomp>)
     9292    1.256    0.000   33.087    0.004 core.py:121(backward)
  1746976    1.208    0.000    3.622    0.000 cuda.py:11(get_array_module)
  4386036    1.174    0.000    2.133    0.000 core.py:227(as_variable)
  4615422    1.105    0.000    2.831    0.000 abc.py:117(__instancecheck__)
     9292    1.061    0.000   27.327    0.003 drl_rainbow.py:407(<listcomp>)
   631860    1.051    0.000    1.051    0.000 board.py:120(<listcomp>)
     9292    1.044    0.000   27.058    0.003 drl_rainbow.py:408(<listcomp>)
11067869/11067863    0.987    0.000    0.988    0.000 {built-in method builtins.getattr}
   306636    0.977    0.000    1.237    0.000 drl_rainbow.py:273(sum)
   594724    0.919    0.000   20.782    0.000 functions.py:27(add)
   594688    0.907    0.000    1.803    0.000 {built-in method cupy._core._routines_manipulation._expand_dims}
  4479543    0.896    0.000    0.896    0.000 {built-in method builtins.min}
    48971    0.888    0.000    0.888    0.000 {built-in method builtins.abs}
    18584    0.818    0.000    1.614    0.000 functions.py:532(backward)
    37172    0.773    0.000   18.326    0.000 board.py:217(list_placable)
  1173266    0.724    0.000    1.163    0.000 board.py:15(__init__)
    65048    0.716    0.000  133.632    0.002 drl_rainbow.py:84(forward)
   631860    0.703    0.000    0.703    0.000 board.py:121(<listcomp>)
  1173266    0.699    0.000    1.862    0.000 board.py:59(__init__)
    15827    0.695    0.000    0.736    0.000 {built-in method builtins.max}
     9292    0.688    0.000  367.451    0.040 drl_rainbow.py:244(<listcomp>)
      621    0.671    0.001 1042.298    1.678 drl_rainbow.py:557(fit_one_episode)
  2350985    0.591    0.000    0.591    0.000 core.py:192(<listcomp>)
    37172    0.551    0.000  142.985    0.004 drl_rainbow.py:481(get_action)
    18584    0.544    0.000    0.545    0.000 {method 'max' of 'cupy._core.core.ndarray' objects}
  2350755    0.532    0.000    1.299    0.000 board.py:184(getbit_stone_black)
   474580    0.522    0.000    1.784    0.000 <__array_function__ internals>:2(can_cast)
        2    0.512    0.256    0.596    0.298 {built-in method _pickle.load}
   176556    0.508    0.000    0.508    0.000 {method 'reshape' of 'cupy._core.core.ndarray' objects}
    18584    0.506    0.000    0.590    0.000 {method 'astype' of 'cupy._core.core.ndarray' objects}
3454085/3450108    0.467    0.000    0.468    0.000 {built-in method builtins.len}
   176556    0.448    0.000    2.601    0.000 functions.py:246(reshape)
    18584    0.420    0.000    0.421    0.000 functions.py:33(forward)
   687613    0.394    0.000   29.567    0.000 from_data.py:7(array)
   882756    0.304    0.000    0.304    0.000 core.py:75(shape)
  1173266    0.303    0.000    0.438    0.000 board.py:133(n2t)
    37172    0.303    0.000    1.312    0.000 board.py:263(__reverse)
   260192    0.293    0.000   15.878    0.000 functions.py:503(affine)
  1486732    0.284    0.000    0.284    0.000 multiarray.py:613(min_scalar_type)
688052/316132    0.265    0.000    0.317    0.000 layers.py:31(params)
   148672    0.251    0.000    0.312    0.000 optimizers.py:225(biased_lr)
     9292    0.250    0.000    0.274    0.000 drl_rainbow.py:269(probs)
        2    0.248    0.124    0.248    0.124 {built-in method _pickle.dump}
     9292    0.244    0.000    0.554    0.000 search.py:177(where)
    55752    0.234    0.000    0.234    0.000 basic.py:7(empty)
   594688    0.224    0.000    2.027    0.000 dims.py:132(expand_dims)
   306636    0.222    0.000    0.429    0.000 core.py:131(add_func)
    38085    0.210    0.000    4.664    0.000 board.py:209(somewhere_placable)
    32049    0.205    0.000    0.333    0.000 inspect.py:744(cleandoc)
   631861    0.204    0.000    0.204    0.000 {built-in method math.ceil}
    65044    0.202    0.000    2.402    0.000 utilitys.py:8(xp_sum_to)
  130/127    0.199    0.002    0.204    0.002 {built-in method _imp.create_dynamic}
     9292    0.199    0.000    0.200    0.000 {method 'fill' of 'cupy._core.core.ndarray' objects}
     9292    0.197    0.000    0.198    0.000 functions.py:82(forward)
